judge,metric,clean_mean,clean_n,poisoned_mean,poisoned_n,fpr
GPT,faithfulness,0.7158083333333334,1200,0.5191166666666667,1200,0.555
GPT,context_relevance,0.7336416666666666,1200,0.6240083333333333,1200,0.72
GPT,answer_relevance,0.8506666666666667,1200,0.7111583333333334,1200,0.7266666666666667
GEMINI,faithfulness,0.9569282136894826,1198,0.6862802335279399,1199,0.6989157631359466
GEMINI,context_relevance,0.9080968280467446,1198,0.8126355296080066,1199,0.859883236030025
GEMINI,answer_relevance,0.9579298831385642,1198,0.8650959132610508,1199,0.8890742285237698
DEEPSEEK,faithfulness,0.78,1200,0.40725000000000006,1200,0.4125
DEEPSEEK,context_relevance,0.5329166666666667,1200,0.31133333333333335,1200,0.3258333333333333
DEEPSEEK,answer_relevance,0.8383333333333334,1200,0.65125,1200,0.6516666666666666
