variant,injection_type,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
embedding_only,overall,0.4141157234989554,0.7799828913601369,0.540999169336656,0.530942857845831,0.550366081833077,0.7848325087382582,0.7776416041584979,0.7915827219988572,0.43473902629716854,4559,6450,13292,1286
entropy_only,overall,0.7902071563088512,0.7178785286569718,0.7523083818915285,0.7431619481136623,0.7616617176026251,0.8735749682451962,0.867254914129757,0.8799051031286212,0.424981814622879,4196,1114,18628,1649
classifier_only,overall,0.6152989231340512,0.8504704875962361,0.7140189600689457,0.7052080758629085,0.7226969032516437,0.9360131366137285,0.932440165543479,0.9396941103551885,0.27600244581699374,4971,3108,16634,874
answer_span_only,overall,0.8031305114638448,0.623267750213858,0.7018591657836432,0.6925055886329747,0.7121279505842042,0.8351470323026755,0.8285117727349672,0.8422025747722052,0.5249818146228791,3643,893,18849,2202
