signal,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn,injection_type,error
aggregated,0.9656070870244919,0.9311557788944723,0.9480685597339473,0.9403483665918556,0.9552538964303671,0.9832427211434055,0.9793936655988531,0.9867610253472716,0.16654834151268005,1853.0,66.0,1924.0,137.0,adversarial_fact,
aggregated,0.9930032292787944,0.9892761394101877,0.9911361804995971,0.987970398440428,0.9940615101998275,0.9977601805828539,0.9964944801125487,0.9988574740433935,0.8659741282463074,1845.0,13.0,3809.0,20.0,poisonedrag_style,
aggregated,0.9722507708119219,0.9507537688442211,0.9613821138211383,0.955243291761149,0.9671560653073146,0.9927075073861772,0.9908722990882886,0.9943629931452382,0.22678552567958832,1892.0,54.0,1936.0,98.0,random_noise,
aggregated,,,,,,,,,,,,,,unknown,no_variance_in_labels
