variant,injection_type,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
embedding_only,overall,0.41667119786852264,0.7195305164319249,0.5277366481870459,0.5204772696594911,0.5348234134170865,0.7861097915292585,0.7814998027899541,0.7908197944288153,0.4404094109774238,7663,10728,29760,2987
entropy_only,overall,0.7425856608119781,0.7264788732394366,0.73444396981347,0.7273240130289153,0.741121310902099,0.876019576425821,0.8715358531651068,0.8805450284724887,0.4249763071537017,7737,2682,37806,2913
classifier_only,overall,0.6055112881806108,0.856244131455399,0.7093737845196422,0.7029017115817312,0.7154556347971341,0.9468719010698585,0.9446792981742604,0.9490025565255132,0.2750422600656748,9119,5941,34547,1531
answer_span_only,overall,0.7604971447766208,0.6377464788732394,0.6937337214646851,0.686253852873164,0.7012093116658302,0.8367040103692696,0.8318604819788105,0.8414882876934906,0.5249763071537017,6792,2139,38349,3858
