signal,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn,injection_type,error
aggregated,1.0,0.9587053571428571,0.978917378917379,0.9754294139697666,0.9821611206949552,0.9935216657111028,0.9916978663431975,0.9951220178194806,0.901001513004303,3436.0,0.0,4376.0,148.0,adversarial_fact,
aggregated,,,,,,,,,,,,,,unknown,no_variance_in_labels
aggregated,0.9610644257703082,0.9573102678571429,0.9591836734693877,0.954135352984316,0.9636340197823319,0.9937576130557914,0.9922853755605535,0.9950147544652808,0.098351389169693,3431.0,139.0,4237.0,153.0,random_noise,
aggregated,0.9800740108169655,0.988799540493969,0.9844174410293066,0.9811258618349364,0.9869498801827181,0.9938915923147382,0.9918475228890907,0.9956102373473432,0.696018636226654,3443.0,70.0,7786.0,39.0,poisonedrag_style,
